Question Number,Question,Options,Correct Answer,Difficulty Level
29,Which plant can never have 100 percent load factor?,Base load plant //@ Peak load plant //@ Nuclear power plant //@ Hydro electric plant,Not provided,MEDIUM
30,"If t he supply voltage for a D.C. motor is increased, which of the following will decrease ?",Starting torque //@ Operating speed //@ Full -load current //@ All of the above,Not provided,MEDIUM
31,The leakage current across a pn junction is due to,Minority carriers //@ Majority carriers //@ Junction capacitance //@ none  of the above,Not provided,MEDIUM
32,The advantage of cables over overhead transmission lines is,Easy  maintenance //@ low cost //@ Can be used in congested areas //@ can be used in high voltage circuits,Not provided,EASY
33,Usually wide and sensitive speed control is desired in case of,Centrifugal  pumps //@ elevators //@ Steel  rolling mills //@ colliery winders,Not provided,MEDIUM
34,India’s first nuclear power plant was installed at,Tarapore //@ Kota //@ Kalpakam //@ None of the above,Not provided,EASY
35,In a commutator,Mica  is harder than copper //@ mica and copper are equally hard //@ copper is harder than mica //@ none of the above,Not provided,EASY
36,What least value should be replaced by * in 223*431 so the number become divisible by 9,6 //@ 4 //@ 5 //@ 3,Not provided,EASY
37,A number when divided by the sum of 555 and 445 gives two times their difference as quotient and 30 as remainder. The number is,220030 //@ 22030 //@ 23030 //@ 24030,Not provided,MEDIUM
38,"In a group of ducks and buffaloes, the total number of legs is 24 more than twice the number of heads. Find the total number of buffaloes.",8 //@ 10 //@ 14 //@ 12,Not provided,MEDIUM
39,How many seconds will a 500 meter long train take to cross a man walking with a speed of 3 km/hr in the direction of the moving train if the speed of the train is 63 km/hr,25 Seconds //@ 30 Seconds //@ 28 Seconds //@ 35 Seconds,Not provided,MEDIUM
40,"a * b = 2a - 3b + ab, then 3*5 + 5*3 = ?",22 //@ 21 //@ 20 //@ 23,Not provided,MEDIUM
41,Food : Stomach : : Fuel : _____ ?,Plane //@ Truck //@ Engine //@ Automobile,Not provided,EASY
42,"SUGARCANE, COFFEE, TOBACCO, RICE",SUGARCANE //@ COFFEE //@ TOBACCO //@ RICE,Not provided,EASY
43,"If PRIVATE is coded as 1234567 and RISK is coded as 2398, how is RIVETS coded?",232679 //@ 243769 //@ 234769 //@ 234976,Not provided,MEDIUM
44,"EJO, TYD, INS, XCH?",NRW //@ MRW //@ MSX //@ NSX,Not provided,HARD
45,_ nmmn _ mmnn _ mnnm _,nmmn //@ mnnm //@ nnmm //@ nmnm,Not provided,MEDIUM
46,A girl introduced a boy as the son of the daughter of the father of her uncle. The boy is girl’s,Uncle //@ Nephew //@ Brother //@ Son,Not provided,MEDIUM
47,"According to a military code, SYSTEM is  SYSMET and NEARER is AENRER What is the code for FRACTION?",CARFTINO //@ CARFNOIT //@ FRACNOIT //@ CARFTION,Not provided,HARD
48,Jungle : Zoo : : Sea : ?,Aquarium //@ Harbour //@ Water //@ Fishery,Not provided,EASY
49,The child jumped _______ to catch the ball.,Above //@ up //@ By //@ at,Not provided,EASY
50,How soon _______ the party begin?,Is //@ will //@ was //@ none,Not provided,EASY
