Question Number,Question,Options,Correct Answer,Difficulty Level
41,Which word does NOT belong with the others?,Tulip //@ Rose //@ Bud //@ Daisy,C,EASY
42,"CMM, EOO, GQQ, _____, KUU",GRR //@ GSS //@ ISS //@ ITT,C,MEDIUM
43,"P 5QR, P 4QS, P 3QT, _____, P 1QV",PQW //@ PQV 2 //@ P 2QU //@ PQ 3U,C,MEDIUM
44,Cup is to coffee as bowl is to,dish //@ soup //@ spoon //@ food,B,EASY
45,Arrange the words given below in a meaningful sequence. 1. Key 2. Door 3. Lock 4. Room 5. Switch on,"5, 1, 2, 4, 3 //@ 4, 2, 1, 5, 3 //@ 1, 3, 2, 4,  5 //@ 1, 2, 3, 5, 4",C,MEDIUM
46,"If FRIEND is coded as HUMJTK, how can CANDLE be written in that code?",DEQJQM //@ DCQHQK //@ EDRIRL //@ ESJFME,C,MEDIUM
47,"If ZEBRA can be written as 2652181, how can COBRA be written?",302181 //@ 3152181 //@ 31822151 //@ 1182153,A,MEDIUM
48,Man : Biography : : Nation : ?,History //@ Geography //@ People //@ Leader,A,EASY
49,A and B are young ones of C. If C is the father of A but B is not the son of C. How are B and C related ?,Niece and uncle //@ Daughter and father //@ Niece and mother //@ Daughter and mother,B,MEDIUM
50,"2Z5, 7Y7, 14X9, 23W11, 34V13, ….. ?",27U24 //@ 47U15 //@ 45U15 //@ 47V14,B,HARD
