Question Number,Question,Options,Correct Answer,Difficulty Level
30,"If t he supply voltage for a D.C. motor is increased, which of the following will decrease ?",a) Starting torque //@ b) Operating speed //@ c) Full -load current //@ d) All of the above,Not available,MEDIUM
31,The leakage current across a pn junction is due to,a) Minority carriers //@ b) Majority carriers //@ c) Junction capacitance //@ d) none  of the above,Not available,MEDIUM
32,The advantage of cables over overhead transmission lines is,a) Easy  maintenance //@ b) low cost //@ c) Can be used in congested areas //@ d) can be used in high voltage circuits,Not available,EASY
33,Usually wide and sensitive speed control is desired in case of,a) Centrifugal  pumps //@ b) elevators //@ c) Steel  rolling mills //@ d) colliery winders,Not available,MEDIUM
34,India’s first nuclear power plant was installed at,a) Tarapore //@ b) Kota //@ c) Kalpakam //@ d) None of the above,Not available,EASY
35,In a commutator,a) Mica  is harder than copper //@ b) mica and copper are equally hard //@ c) copper is harder than mica //@ d) none of the above,Not available,EASY
36,What least value should be replaced by * in 223*431 so the number become divisible by 9,a) 6 //@ b) 4 //@ c) 5 //@ d) 3,Not available,EASY
37,A number when divided by the sum of 555 and 445 gives two times their difference as quotient and 30 as remainder. The number is,a) 220030 //@ b) 22030 //@ c) 23030 //@ d) 24030,Not available,MEDIUM
38,"In a group of ducks and buffaloes, the total number of legs is 24 more than twice the number of heads. Find the total number of buffaloes.",a)8 //@ b) 10 //@ c) 14 //@ d) 12,Not available,MEDIUM
39,How many seconds will a 500 meter long train take to cross a man walking with a speed of 3 km/hr in the direction of the moving train if the speed of the train is 63 km/hr,a) 25 Seconds //@ b) 30 Seconds //@ c) 28 Seconds //@ d) 35 Seconds,Not available,MEDIUM
40,"a * b = 2a - 3b + ab, then 3*5 + 5*3 = ?",a) 22 //@ b) 21 //@ c) 20 //@ d) 23,Not available,MEDIUM
41,Food : Stomach : : Fuel : _____ ?,a) Plane //@ b) Truck //@ c) Engine //@ d) Automobile,Not available,EASY
42,"SUGARCANE, COFFEE, TOBACCO, RICE",a) SUGARCANE //@ b) COFFEE //@ c) TOBACCO //@ d) RICE,Not available,EASY
43,"If PRIVATE is coded as 1234567 and RISK is coded as 2398, how is RIVETS coded?",a) 232679 //@ b) 243769 //@ c) 234769 //@ d) 234976,Not available,MEDIUM
44,"EJO, TYD, INS, XCH?",a) NRW //@ b) MRW //@ c) MSX //@ d) NSX,Not available,HARD
45,_ nmmn _ mmnn _ mnnm _,a) nmmn //@ b) mnnm //@ c) nnmm //@ d) nmnm,Not available,MEDIUM
46,A girl introduced a boy as the son of the daughter of the father of her uncle. The boy is girl’s,a) Uncle //@ b) Nephew //@ c) Brother //@ d) Son,Not available,MEDIUM
47,"According to a military code, SYSTEM is  SYSMET and NEARER is AENRER What is the code for FRACTION?",a) CARFTINO //@ b) CARFNOIT //@ c) FRACNOIT //@ d) CARFTION,Not available,HARD
48,Jungle : Zoo : : Sea : ?,a) Aquarium //@ b) Harbour //@ c) Water //@ d) Fishery,Not available,EASY
49,The child jumped _______ to catch the ball.,a) Above //@ b) up //@ c) By //@ d) at,Not available,EASY
50,How soon _______ the party begin?,a) Is //@ b) will //@ c) was //@ d) none,Not available,EASY
